
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Fri May  5 23:03:43 2017
     Path: "C:\Users\Joy Shalom\Desktop\Actual JF Project 2\RemoteCodePublisher_Spring2017P4_699737418 - Using WPF"
     Args: *.h, *.cpp, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            FileSystem.cpp    function                             remove     671       3       1
            FileSystem.cpp    function                getCurrentDirectory     539       5       1
            FileSystem.cpp    function                setCurrentDirectory     547       3       1
            FileSystem.cpp    function                           getFiles     553      16       2
            FileSystem.cpp    function                     getDirectories     572      16       2
            FileSystem.cpp    function                             create     591       3       1
            FileSystem.cpp    function                             exists     597       6       1
            FileSystem.cpp    function                             remove     606       3       1
            FileSystem.cpp    function                getCurrentDirectory     539       5       1
            FileSystem.cpp    function                setCurrentDirectory     547       3       1
            FileSystem.cpp    function                           getFiles     553      16       2
            FileSystem.cpp    function                     getDirectories     572      16       2
            FileSystem.cpp    function                             create     591       3       1
            FileSystem.cpp    function                             exists     597       6       1
            FileSystem.cpp    function                             remove     606       3       1
            FileSystem.cpp       class                   FileSystemSearch      15      14      10
            FileSystem.cpp    function                   FileSystemSearch      29       2       1
            FileSystem.cpp    function                  ~FileSystemSearch      30       2       1
            FileSystem.cpp    function                              close      31       2       1
            FileSystem.cpp    function                          firstFile     612      13       2
            FileSystem.cpp    function                           nextFile     628       6       1
            FileSystem.cpp    function                     firstDirectory     637      13       2
            FileSystem.cpp    function                      nextDirectory     653       6       1
            FileSystem.cpp    function                              title     664       4       1
            FileSystem.cpp    function                               main     669     297      15
            FileSystem.cpp       class                   FileSystemSearch      26      14      10
            FileSystem.cpp    function                   FileSystemSearch      40       2       1
            FileSystem.cpp    function                  ~FileSystemSearch      41       2       1
            FileSystem.cpp    function                              close      42       2       1
            FileSystem.cpp    function                          firstFile     678      13       2
            FileSystem.cpp    function                           nextFile     695       6       1
            FileSystem.cpp    function                     firstDirectory     705      13       2
            FileSystem.cpp    function                      nextDirectory     722       6       1
            FileSystem.cpp    function                              title     734       4       1
            FileSystem.cpp    function                               main     739     297      15
            FileSystem.cpp       class                   FileSystemSearch      15      14      10
            FileSystem.cpp    function                   FileSystemSearch      29       2       1
            FileSystem.cpp    function                  ~FileSystemSearch      30       2       1
            FileSystem.cpp    function                              close      31       2       1
            FileSystem.cpp    function                          firstFile     612      13       2
            FileSystem.cpp    function                           nextFile     628       6       1
            FileSystem.cpp    function                     firstDirectory     637      13       2
            FileSystem.cpp    function                      nextDirectory     653       6       1
            FileSystem.cpp    function                              title     664       4       1
            FileSystem.cpp    function                               main     669     297      15
            FileSystem.cpp       class                   FileSystemSearch      15      14      10
            FileSystem.cpp    function                   FileSystemSearch      29       2       1
            FileSystem.cpp    function                  ~FileSystemSearch      30       2       1
            FileSystem.cpp    function                              close      31       2       1
            FileSystem.cpp    function                          firstFile     612      13       2
            FileSystem.cpp    function                           nextFile     628       6       1
            FileSystem.cpp    function                     firstDirectory     637      13       2
            FileSystem.cpp    function                      nextDirectory     653       6       1
            FileSystem.cpp    function                              title     664       4       1
            FileSystem.cpp    function                               main     669     297      15

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
             HttpMessage.h       class                        HttpMessage      13      50      29

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
           HttpMessage.cpp    function                       addAttribute      59       3       1
           HttpMessage.cpp    function                      findAttribute      65       6       1
           HttpMessage.cpp    function                          findValue      76       9       2
           HttpMessage.cpp    function                    removeAttribute      88       8       1
           HttpMessage.cpp    function                         attributes      99       3       1
           HttpMessage.cpp    function                     parseAttribute     103      11       1
           HttpMessage.cpp    function                            setBody     118       6       2
           HttpMessage.cpp    function                            getBody     130      10       2
